ds,y
2003-01-01,168.89999389648438
2003-02-01,174.89999389648438
2003-03-01,150.60000610351562
2003-04-01,130.0
2003-05-01,107.5
2003-06-01,189.6999969482422
2003-07-01,148.6999969482422
2003-08-01,145.6999969482422
2003-09-01,131.89999389648438
2003-10-01,165.39999389648438
2003-11-01,166.3000030517578
2003-12-01,117.9000015258789
2004-01-01,118.4000015258789
2004-02-01,140.89999389648438
2004-03-01,198.5
2004-04-01,189.60000610351562
2004-05-01,174.60000610351562
2004-06-01,166.60000610351562
2004-07-01,221.39999389648438
2004-08-01,215.0
2004-09-01,132.10000610351562
2004-10-01,209.10000610351562
2004-11-01,140.39999389648438
2004-12-01,259.0
2005-01-01,144.3000030517578
2005-02-01,140.0
2005-03-01,256.79998779296875
2005-04-01,156.8000030517578
2005-05-01,140.6999969482422
2005-06-01,203.6999969482422
2005-07-01,162.60000610351562
2005-08-01,216.60000610351562
2005-09-01,170.39999389648438
2005-10-01,197.6999969482422
2005-11-01,189.8000030517578
2005-12-01,211.0
2006-01-01,170.89999389648438
2006-02-01,120.19999694824219
2006-03-01,259.79998779296875
2006-04-01,161.39999389648438
2006-05-01,185.10000610351562
2006-06-01,162.1999969482422
2006-07-01,231.1999969482422
2006-08-01,144.0
2006-09-01,177.8000030517578
2006-10-01,194.0
2006-11-01,200.5
2006-12-01,164.0
2007-01-01,173.53297424316406
2007-02-01,164.38160705566406
2007-03-01,199.69822692871094
2007-04-01,170.80477905273438
2007-05-01,194.44546508789062
2007-06-01,187.6268310546875
2007-07-01,216.3450164794922
2007-08-01,140.1049041748047
2007-09-01,232.7339630126953
2007-10-01,234.22474670410156
2007-11-01,180.7942352294922
2007-12-01,163.44381713867188
2008-01-01,205.42013549804688
2008-02-01,113.49877166748047
2008-03-01,255.8233642578125
2008-04-01,198.65965270996094
2008-05-01,106.64703369140625
2008-06-01,182.66824340820312
2008-07-01,243.37078857421875
2008-08-01,146.32659912109375
2008-09-01,133.7699737548828
2008-10-01,160.94972229003906
2008-11-01,178.58993530273438
2008-12-01,88.66622161865234
2009-01-01,174.3128662109375
2009-02-01,119.24217224121094
2009-03-01,122.10759735107422
2009-04-01,177.92617797851562
2009-05-01,141.23016357421875
2009-06-01,156.9340362548828
2009-07-01,129.694580078125
2009-08-01,124.4617919921875
2009-09-01,166.23997497558594
2009-10-01,139.13433837890625
2009-11-01,218.5953826904297
2009-12-01,175.3512420654297
2010-01-01,166.36117553710938
2010-02-01,150.4146728515625
2010-03-01,154.54541015625
2010-04-01,157.861083984375
2010-05-01,119.69766998291016
2010-06-01,134.50897216796875
2010-07-01,148.86416625976562
2010-08-01,146.4281463623047
2010-09-01,220.93125915527344
2010-10-01,113.69583892822266
2010-11-01,174.34231567382812
2010-12-01,175.79010009765625
2011-01-01,154.19503784179688
2011-02-01,67.22132110595703
2011-03-01,134.48583984375
2011-04-01,126.28092193603516
2011-05-01,186.25222778320312
2011-06-01,117.072021484375
2011-07-01,168.1499786376953
2011-08-01,119.6607894897461
2011-09-01,138.66070556640625
2011-10-01,161.9453125
2011-11-01,155.93873596191406
2011-12-01,170.2463836669922
2012-01-01,236.61770629882812
2012-02-01,155.4730682373047
2012-03-01,159.90292358398438
2012-04-01,143.28684997558594
2012-05-01,146.07351684570312
2012-06-01,199.25250244140625
2012-07-01,212.8637237548828
2012-08-01,137.96524047851562
2012-09-01,148.734130859375
2012-10-01,202.11488342285156
2012-11-01,172.3831329345703
2012-12-01,178.7930450439453
2013-01-01,175.65777587890625
2013-02-01,230.1075439453125
2013-03-01,160.22152709960938
2013-04-01,152.43809509277344
2013-05-01,149.06710815429688
2013-06-01,375.6290283203125
2013-07-01,169.41510009765625
2013-08-01,272.3455505371094
2013-09-01,145.54153442382812
2013-10-01,303.8367614746094
2013-11-01,234.02593994140625
2013-12-01,165.995361328125
2014-01-01,273.6566162109375
2014-02-01,156.9090118408203
2014-03-01,298.8389892578125
2014-04-01,197.9554901123047
2014-05-01,266.42474365234375
2014-06-01,221.06980895996094
2014-07-01,243.64700317382812
2014-08-01,209.45950317382812
2014-09-01,216.08389282226562
2014-10-01,202.2523193359375
2014-11-01,258.9739685058594
2014-12-01,217.60780334472656
2015-01-01,247.99339294433594
2015-02-01,243.2365264892578
2015-03-01,162.5963134765625
2015-04-01,268.609375
2015-05-01,227.6542510986328
2015-06-01,210.97096252441406
2015-07-01,362.78021240234375
2015-08-01,196.75245666503906
2015-09-01,228.58631896972656
2015-10-01,189.14630126953125
2015-11-01,181.9898223876953
2015-12-01,204.49880981445312
2016-01-01,296.9283752441406
2016-02-01,112.1261978149414
2016-03-01,251.91217041015625
2016-04-01,215.14744567871094
2016-05-01,309.7704772949219
2016-06-01,255.960693359375
2016-07-01,209.12045288085938
2016-08-01,182.68875122070312
2016-09-01,189.88575744628906
2016-10-01,216.08558654785156
2016-11-01,261.2746276855469
2016-12-01,333.8284606933594
2017-01-01,329.5850830078125
2017-02-01,185.1016845703125
2017-03-01,238.32876586914062
2017-04-01,160.17857360839844
2017-05-01,238.0628662109375
2017-06-01,240.97523498535156
2017-07-01,273.123291015625
2017-08-01,281.5379943847656
2017-09-01,233.3938751220703
2017-10-01,293.60626220703125
2017-11-01,249.1033935546875
2017-12-01,272.119140625
2018-01-01,270.4398498535156
2018-02-01,227.53932189941406
2018-03-01,206.0161895751953
2018-04-01,264.7173156738281
2018-05-01,293.737548828125
2018-06-01,284.0664978027344
2018-07-01,399.88348388671875
2018-08-01,282.8143615722656
2018-09-01,155.07733154296875
2018-10-01,323.15179443359375
