ds,y
2003-01-01,470.29998779296875
2003-02-01,375.29998779296875
2003-03-01,342.70001220703125
2003-04-01,392.5
2003-05-01,374.1999816894531
2003-06-01,413.9000244140625
2003-07-01,395.29998779296875
2003-08-01,402.79998779296875
2003-09-01,350.0
2003-10-01,429.79998779296875
2003-11-01,383.9000244140625
2003-12-01,356.79998779296875
2004-01-01,358.79998779296875
2004-02-01,365.8999938964844
2004-03-01,539.7000122070312
2004-04-01,462.70001220703125
2004-05-01,527.5
2004-06-01,393.5
2004-07-01,476.29998779296875
2004-08-01,523.699951171875
2004-09-01,366.0
2004-10-01,536.2999877929688
2004-11-01,364.0
2004-12-01,571.2000122070312
2005-01-01,411.5
2005-02-01,333.0999755859375
2005-03-01,561.7999877929688
2005-04-01,432.0999755859375
2005-05-01,396.70001220703125
2005-06-01,503.70001220703125
2005-07-01,413.20001220703125
2005-08-01,474.6000061035156
2005-09-01,445.79998779296875
2005-10-01,432.0999755859375
2005-11-01,475.9000244140625
2005-12-01,456.5
2006-01-01,389.5
2006-02-01,389.0
2006-03-01,594.699951171875
2006-04-01,371.3999938964844
2006-05-01,485.6000061035156
2006-06-01,414.0999755859375
2006-07-01,492.29998779296875
2006-08-01,410.1000061035156
2006-09-01,451.0999755859375
2006-10-01,432.0
2006-11-01,426.6000061035156
2006-12-01,377.6000061035156
2007-01-01,560.7445678710938
2007-02-01,415.2003173828125
2007-03-01,465.916748046875
2007-04-01,476.1296081542969
2007-05-01,597.4244384765625
2007-06-01,418.93963623046875
2007-07-01,495.12811279296875
2007-08-01,383.0880126953125
2007-09-01,458.47198486328125
2007-10-01,567.0897216796875
2007-11-01,444.98736572265625
2007-12-01,390.22991943359375
2008-01-01,513.4024658203125
2008-02-01,406.91619873046875
2008-03-01,549.296142578125
2008-04-01,464.43896484375
2008-05-01,355.4922790527344
2008-06-01,450.185546875
2008-07-01,524.752685546875
2008-08-01,448.1390380859375
2008-09-01,347.391357421875
2008-10-01,496.10479736328125
2008-11-01,475.7090148925781
2008-12-01,373.4264221191406
2009-01-01,487.5687255859375
2009-02-01,413.75750732421875
2009-03-01,423.46881103515625
2009-04-01,478.3937072753906
2009-05-01,443.48431396484375
2009-06-01,438.22589111328125
2009-07-01,491.84393310546875
2009-08-01,392.7239074707031
2009-09-01,454.13592529296875
2009-10-01,419.1534423828125
2009-11-01,485.16552734375
2009-12-01,492.57659912109375
2010-01-01,507.5749816894531
2010-02-01,396.6806640625
2010-03-01,457.7077331542969
2010-04-01,434.0256042480469
2010-05-01,410.7084045410156
2010-06-01,428.031494140625
2010-07-01,478.9530944824219
2010-08-01,405.5721435546875
2010-09-01,548.7944946289062
2010-10-01,360.4101867675781
2010-11-01,484.72216796875
2010-12-01,528.9317626953125
2011-01-01,414.2792053222656
2011-02-01,331.30926513671875
2011-03-01,413.97283935546875
2011-04-01,401.8865051269531
2011-05-01,464.97540283203125
2011-06-01,387.29620361328125
2011-07-01,461.8446044921875
2011-08-01,404.04010009765625
2011-09-01,408.16534423828125
2011-10-01,454.596435546875
2011-11-01,491.46551513671875
2011-12-01,435.63397216796875
2012-01-01,547.4459228515625
2012-02-01,423.3670654296875
2012-03-01,444.6310119628906
2012-04-01,384.48504638671875
2012-05-01,404.0795593261719
2012-06-01,483.72479248046875
2012-07-01,517.4360961914062
2012-08-01,390.61907958984375
2012-09-01,291.1470642089844
2012-10-01,447.1311950683594
2012-11-01,476.45751953125
