ds,y
2003-01-01,18.899999618530273
2003-02-01,13.399999618530273
2003-03-01,8.5
2003-04-01,32.20000076293945
2003-05-01,20.799999237060547
2003-06-01,18.100000381469727
2003-07-01,33.79999923706055
2003-08-01,31.700000762939453
2003-09-01,17.299999237060547
2003-10-01,31.0
2003-11-01,21.5
2003-12-01,28.700000762939453
2004-01-01,19.899999618530273
2004-02-01,10.600000381469727
2004-03-01,28.600000381469727
2004-04-01,30.0
2004-05-01,24.5
2004-06-01,20.899999618530273
2004-07-01,30.700000762939453
2004-08-01,43.900001525878906
2004-09-01,24.600000381469727
2004-10-01,51.400001525878906
2004-11-01,29.0
2004-12-01,52.0
2005-01-01,9.300000190734863
2005-02-01,20.200000762939453
2005-03-01,6.699999809265137
2005-04-01,39.599998474121094
2005-05-01,28.600000381469727
2005-06-01,42.599998474121094
2005-07-01,16.0
2005-08-01,42.0
2005-09-01,43.599998474121094
2005-10-01,26.700000762939453
2005-11-01,43.20000076293945
2005-12-01,28.799999237060547
2006-01-01,29.399999618530273
2006-02-01,35.099998474121094
2006-03-01,34.400001525878906
2006-04-01,31.399999618530273
2006-05-01,40.5
2006-06-01,31.399999618530273
2006-07-01,44.0
2006-08-01,61.29999923706055
2006-09-01,39.099998474121094
2006-10-01,40.5
2006-11-01,37.900001525878906
2006-12-01,32.099998474121094
2007-01-01,69.93971252441406
2007-02-01,40.23611831665039
2007-03-01,37.1728401184082
2007-04-01,39.62406921386719
2007-05-01,40.507408142089844
2007-06-01,35.19813919067383
2007-07-01,23.03264045715332
2007-08-01,38.580020904541016
2007-09-01,25.534730911254883
2007-10-01,65.82398223876953
2007-11-01,38.03179168701172
2007-12-01,51.82883071899414
2008-01-01,62.01831817626953
2008-02-01,32.39282989501953
2008-03-01,37.890281677246094
2008-04-01,29.379640579223633
2008-05-01,34.97010040283203
2008-06-01,35.48303985595703
2008-07-01,12.661829948425293
2008-08-01,41.95267105102539
2008-09-01,14.736869812011719
2008-10-01,35.204158782958984
2008-11-01,43.03491973876953
2008-12-01,27.993610382080078
2009-01-01,44.224300384521484
2009-02-01,25.281890869140625
2009-03-01,33.344398498535156
2009-04-01,30.724689483642578
2009-05-01,22.911460876464844
2009-06-01,38.94086837768555
2009-07-01,32.35126876831055
2009-08-01,33.195831298828125
2009-09-01,47.3684196472168
2009-10-01,22.014469146728516
2009-11-01,38.246971130371094
2009-12-01,27.34840965270996
2010-01-01,79.93666076660156
2010-02-01,8.604940414428711
2010-03-01,35.611358642578125
2010-04-01,33.50859832763672
2010-05-01,29.752639770507812
2010-06-01,29.516389846801758
2010-07-01,36.665958404541016
2010-08-01,22.688249588012695
2010-09-01,31.796300888061523
2010-10-01,21.93305015563965
2010-11-01,36.79001998901367
2010-12-01,51.68745040893555
2011-01-01,47.2413215637207
2011-02-01,30.108089447021484
2011-03-01,24.834150314331055
2011-04-01,30.99595069885254
2011-05-01,30.610200881958008
2011-06-01,33.823020935058594
2011-07-01,32.060508728027344
2011-08-01,31.515899658203125
2011-09-01,27.465389251708984
2011-10-01,42.05588150024414
2011-11-01,37.996559143066406
2011-12-01,24.144880294799805
2012-01-01,43.37696075439453
2012-02-01,35.50960922241211
2012-03-01,39.56575012207031
2012-04-01,18.585010528564453
2012-05-01,32.04010009765625
2012-06-01,39.420509338378906
2012-07-01,49.1196403503418
2012-08-01,26.10247039794922
2012-09-01,12.113059997558594
2012-10-01,11.322290420532227
2012-11-01,65.68260192871094
2012-12-01,34.95594024658203
2013-01-01,46.63962173461914
2013-02-01,34.33721160888672
2013-03-01,34.737579345703125
2013-04-01,22.17683982849121
2013-05-01,30.23345947265625
2013-06-01,29.794170379638672
2013-07-01,41.1904411315918
2013-08-01,49.827030181884766
2013-09-01,46.4043083190918
2013-10-01,56.39970016479492
2013-11-01,31.0314998626709
2013-12-01,47.043270111083984
2014-01-01,60.66727066040039
2014-02-01,2.747499942779541
2014-03-01,43.54290008544922
2014-04-01,54.90732955932617
2014-05-01,37.46723175048828
2014-06-01,52.6225700378418
2014-07-01,28.15612030029297
2014-08-01,44.71446990966797
2014-09-01,26.505260467529297
2014-10-01,42.30670928955078
2014-11-01,42.869590759277344
2014-12-01,14.177929878234863
2015-01-01,63.225181579589844
2015-02-01,47.82062911987305
2015-03-01,38.826778411865234
2015-04-01,23.788089752197266
2015-05-01,24.4027099609375
2015-06-01,35.74610137939453
2015-07-01,28.34539031982422
2015-08-01,44.86737060546875
2015-09-01,31.408159255981445
2015-10-01,39.12334060668945
2015-11-01,23.698890686035156
2015-12-01,50.787620544433594
2016-01-01,45.46992874145508
2016-02-01,30.527080535888672
2016-03-01,31.105390548706055
2016-04-01,38.61444091796875
2016-05-01,40.21662139892578
2016-06-01,35.43281173706055
2016-07-01,22.537870407104492
2016-08-01,35.18497085571289
2016-09-01,33.26763153076172
2016-10-01,25.916990280151367
2016-11-01,37.8630485534668
2016-12-01,45.43492126464844
2017-01-01,39.69852066040039
2017-02-01,17.208070755004883
2017-03-01,42.723121643066406
2017-04-01,25.747739791870117
2017-05-01,35.739009857177734
2017-06-01,14.29977035522461
2017-07-01,33.197269439697266
2017-08-01,27.75058937072754
2017-09-01,25.78093910217285
2017-10-01,38.92163848876953
2017-11-01,48.22296905517578
2017-12-01,45.083038330078125
2018-01-01,48.299560546875
2018-02-01,21.965389251708984
2018-03-01,37.62704086303711
2018-04-01,24.411060333251953
2018-05-01,23.041549682617188
2018-06-01,23.7679500579834
2018-07-01,28.917409896850586
2018-08-01,39.669281005859375
2018-09-01,18.19972038269043
