ds,y
2003-01-01,282.5
2003-02-01,187.0
2003-03-01,183.60000610351562
2003-04-01,230.3000030517578
2003-05-01,245.89999389648438
2003-06-01,206.10000610351562
2003-07-01,212.8000030517578
2003-08-01,225.39999389648438
2003-09-01,200.8000030517578
2003-10-01,233.39999389648438
2003-11-01,196.10000610351562
2003-12-01,210.1999969482422
2004-01-01,220.5
2004-02-01,214.39999389648438
2004-03-01,312.6000061035156
2004-04-01,243.10000610351562
2004-05-01,328.3999938964844
2004-06-01,206.0
2004-07-01,224.1999969482422
2004-08-01,264.79998779296875
2004-09-01,209.3000030517578
2004-10-01,275.79998779296875
2004-11-01,194.60000610351562
2004-12-01,260.20001220703125
2005-01-01,257.8999938964844
2005-02-01,172.89999389648438
2005-03-01,298.29998779296875
2005-04-01,235.6999969482422
2005-05-01,227.39999389648438
2005-06-01,257.3999938964844
2005-07-01,234.60000610351562
2005-08-01,216.0
2005-09-01,231.8000030517578
2005-10-01,207.6999969482422
2005-11-01,242.89999389648438
2005-12-01,216.6999969482422
2006-01-01,189.1999969482422
2006-02-01,233.6999969482422
2006-03-01,300.5
2006-04-01,178.60000610351562
2006-05-01,260.0
2006-06-01,220.5
2006-07-01,217.10000610351562
2006-08-01,204.8000030517578
2006-09-01,234.1999969482422
2006-10-01,197.5
2006-11-01,188.1999969482422
2006-12-01,181.5
2007-01-01,317.27191162109375
2007-02-01,210.58258056640625
2007-03-01,229.04568481445312
2007-04-01,265.70074462890625
2007-05-01,362.4715881347656
2007-06-01,196.11468505859375
2007-07-01,255.75047302246094
2007-08-01,204.403076171875
2007-09-01,200.20327758789062
2007-10-01,267.041015625
2007-11-01,226.16134643554688
2007-12-01,174.957275390625
2008-01-01,245.96400451660156
2008-02-01,261.02459716796875
2008-03-01,255.58253479003906
2008-04-01,236.399658203125
2008-05-01,213.87513732910156
2008-06-01,232.0342559814453
2008-07-01,268.72003173828125
2008-08-01,259.8597717285156
2008-09-01,198.88453674316406
2008-10-01,299.950927734375
2008-11-01,254.0841522216797
2008-12-01,256.7665710449219
